ticker,second_ts,yes_open,yes_high,yes_low,yes_close,contracts,trade_count,yes_vwap
KXBTC15M-26SEP051745-45,1788644501,0.72,0.73,0.72,0.73,2912.59,76,0.7262953247796633
KXBTC15M-26SEP051745-45,1788644502,0.73,0.73,0.65,0.68,3559.46,111,0.6922667764211424
KXBTC15M-26SEP051745-45,1788644503,0.68,0.69,0.65,0.67,1705.65,74,0.6771132412863131
KXBTC15M-26SEP051745-45,1788644504,0.67,0.7,0.67,0.7,5367.94,86,0.6770742780284431
KXBTC15M-26SEP051745-45,1788644505,0.7,0.72,0.69,0.7,1977.26,58,0.697749360225767
KXBTC15M-26SEP051745-45,1788644506,0.7,0.71,0.69,0.7,3105.07,58,0.6948281681250342
KXBTC15M-26SEP051745-45,1788644507,0.71,0.71,0.69,0.69,1165.21,56,0.6955095647994781
KXBTC15M-26SEP051745-45,1788644508,0.69,0.71,0.69,0.7,1706.25,92,0.6956398534798534
KXBTC15M-26SEP051745-45,1788644509,0.69,0.71,0.69,0.7,2811.81,57,0.6990554838342562
KXBTC15M-26SEP051745-45,1788644510,0.7,0.72,0.7,0.72,1618.2,55,0.7036739587195648
KXBTC15M-26SEP051745-45,1788644511,0.72,0.73,0.7,0.71,3234.44,71,0.7127314465564364
KXBTC15M-26SEP051745-45,1788644512,0.71,0.72,0.71,0.71,2657.21,58,0.7124832813364393
KXBTC15M-26SEP051745-45,1788644513,0.71,0.72,0.71,0.71,4271.88,62,0.7158391153309549
KXBTC15M-26SEP051745-45,1788644514,0.71,0.72,0.71,0.72,2460.67,77,0.7143601133024745
KXBTC15M-26SEP051745-45,1788644515,0.72,0.72,0.71,0.71,3035.95,68,0.7126748793623084
KXBTC15M-26SEP051745-45,1788644516,0.72,0.72,0.71,0.72,4478.5,78,0.7169335938372223
KXBTC15M-26SEP051745-45,1788644517,0.72,0.72,0.68,0.71,3619.5,71,0.6963823456278491
KXBTC15M-26SEP051745-45,1788644518,0.7,0.71,0.69,0.71,5961.35,74,0.6992969209994381
KXBTC15M-26SEP051745-45,1788644519,0.71,0.71,0.69,0.69,1226.57,52,0.7012404510138027
KXBTC15M-26SEP051745-45,1788644520,0.7,0.7,0.65,0.7,10320.86,74,0.6821491038537486
KXBTC15M-26SEP051745-45,1788644521,0.69,0.7,0.69,0.69,1887.43,62,0.6921986510758015
KXBTC15M-26SEP051745-45,1788644522,0.69,0.7,0.68,0.69,5777.76,51,0.6904534802414777
KXBTC15M-26SEP051745-45,1788644523,0.69,0.7,0.69,0.69,2217.28,57,0.6980227125126279
KXBTC15M-26SEP051745-45,1788644524,0.7,0.7,0.69,0.7,1287.9,44,0.6981840204984858
KXBTC15M-26SEP051745-45,1788644525,0.7,0.71,0.69,0.7,3197.57,61,0.6970336536807639
KXBTC15M-26SEP051745-45,1788644526,0.7,0.7,0.55,0.59,4723.96,117,0.6011493746771777
KXBTC15M-26SEP051745-45,1788644527,0.58,0.59,0.57,0.57,1219.91,41,0.5792650277479486
KXBTC15M-26SEP051745-45,1788644528,0.57,0.59,0.57,0.58,1412.31,43,0.585244528467546
KXBTC15M-26SEP051745-45,1788644529,0.59,0.6,0.58,0.59,1478.11,68,0.5877346070319529
KXBTC15M-26SEP051745-45,1788644530,0.58,0.59,0.56,0.56,2080.32,77,0.5716005229964619
KXBTC15M-26SEP051745-45,1788644531,0.57,0.57,0.56,0.57,1066.01,38,0.5661033198562866
KXBTC15M-26SEP051745-45,1788644532,0.56,0.58,0.56,0.58,1459.85,49,0.5674823440764462
KXBTC15M-26SEP051745-45,1788644533,0.58,0.6,0.57,0.58,4209.74,41,0.5846133965518061
