ticker,signal_time,exit_time,volatility,trend,side,pnl,cost,exit
KXBTC15M-26SEP030830-30,2026-09-03T12:16:00.000Z,2026-09-03T12:19:00.000Z,low,BULLISH,yes,-0.7000000000000002,1.3800000000000001,STOP_LOSS
KXBTC15M-26SEP040015-15,2026-09-04T04:02:00.000Z,2026-09-04T04:13:00.000Z,low,NEUTRAL,no,-1.224,1.3,STOP_LOSS
KXBTC15M-26SEP041715-15,2026-09-04T21:02:00.000Z,2026-09-04T21:07:00.000Z,low,BEARISH,no,-0.3200000000000003,0.6500000000000001,STOP_LOSS
KXBTC15M-26SEP041800-00,2026-09-04T21:46:00.000Z,2026-09-04T21:50:00.000Z,low,NEUTRAL,no,0.45999999999999974,1.47,SCALP_TAKE_PROFIT
KXBTC15M-26SEP041815-15,2026-09-04T22:03:00.000Z,2026-09-04T22:07:00.000Z,high,BEARISH,no,0.040000000000000036,0.74,SCALP_TAKE_PROFIT
KXBTC15M-26SEP041830-30,2026-09-04T22:16:00.000Z,2026-09-04T22:24:00.000Z,low,BEARISH,no,-0.6500000000000001,0.98,STOP_LOSS
KXBTC15M-26SEP041915-15,2026-09-04T23:01:00.000Z,2026-09-04T23:13:00.000Z,low,BEARISH,no,-2.34,3.04,STOP_LOSS
KXBTC15M-26SEP042100-00,2026-09-05T00:46:00.000Z,2026-09-05T00:57:00.000Z,low,BEARISH,no,0.5200000000000002,1.97,SCALP_TAKE_PROFIT
KXBTC15M-26SEP042115-15,2026-09-05T01:01:00.000Z,2026-09-05T01:04:00.000Z,low,BEARISH,no,-0.14000000000000012,0.8,SCALP_TAKE_PROFIT
KXBTC15M-26SEP042215-15,2026-09-05T02:01:00.000Z,2026-09-05T02:12:00.000Z,low,BEARISH,no,-0.8599999999999999,2,STOP_LOSS
KXBTC15M-26SEP042245-45,2026-09-05T02:34:00.000Z,2026-09-05T02:38:00.000Z,low,NEUTRAL,no,-0.37000000000000005,0.5700000000000001,STOP_LOSS
KXBTC15M-26SEP042315-15,2026-09-05T03:01:00.000Z,2026-09-05T03:04:00.000Z,low,NEUTRAL,no,0.060000000000000275,1.99,SCALP_TAKE_PROFIT
KXBTC15M-26SEP050045-45,2026-09-05T04:31:00.000Z,2026-09-05T04:37:00.000Z,low,BEARISH,no,0.3500000000000001,2.55,SCALP_TAKE_PROFIT
KXBTC15M-26SEP050130-30,2026-09-05T05:19:00.000Z,2026-09-05T05:24:00.000Z,low,NEUTRAL,no,0.32999999999999985,1.2000000000000002,SCALP_TAKE_PROFIT
KXBTC15M-26SEP050200-00,2026-09-05T05:46:00.000Z,2026-09-05T05:54:00.000Z,low,NEUTRAL,no,-2.41,3.8800000000000003,STOP_LOSS
KXBTC15M-26SEP050215-15,2026-09-05T06:01:00.000Z,2026-09-05T06:07:00.000Z,low,NEUTRAL,no,-0.29000000000000004,0.8400000000000001,STOP_LOSS
KXBTC15M-26SEP050315-15,2026-09-05T07:01:00.000Z,2026-09-05T07:05:00.000Z,low,NEUTRAL,no,-0.1599999999999997,1.0099999999999998,SCALP_TAKE_PROFIT
KXBTC15M-26SEP050345-45,2026-09-05T07:33:00.000Z,2026-09-05T07:38:00.000Z,low,BULLISH,no,-0.8499999999999999,1.95,STOP_LOSS
